Project ID,Start Date,End Date,Duration (days),Status,Budget ($),Actual Cost ($),Location,Project Manager
PRJ0044,2023-01-14,2023-12-05,325,In Progress,529985.1,551644.2701845777,Mississauga,Alice Smith
PRJ0045,2023-11-16,2024-07-20,247,Completed,548612.77,547080.65000619,Ottawa,Daniel Lee
PRJ0046,2023-03-12,2024-02-14,339,In Progress,624789.6,696203.7320224409,Toronto,Cathy Zhang
PRJ0047,2023-07-22,2024-06-08,322,In Progress,505392.04,595864.0583164925,Hamilton,Cathy Zhang
PRJ0048,2023-11-13,2024-06-13,213,Planned,792335.56,746648.1957439977,Toronto,Bob Johnson
PRJ0049,2023-07-20,2024-05-04,289,Planned,530640.99,477550.61581586284,London,Daniel Lee
PRJ0050,2023-01-28,2023-05-26,118,Planned,684247.9,716056.5037430931,Toronto,Daniel Lee
PRJ0051,2023-12-31,2024-09-22,266,In Progress,266716.22,266595.96524755965,Ottawa,Bob Johnson
PRJ0052,2023-12-31,2024-09-30,274,Completed,634973.95,759221.9887019648,Mississauga,Daniel Lee
PRJ0053,2023-08-17,2024-01-30,166,On Hold,481923.95,474668.44693820924,Hamilton,Daniel Lee
PRJ0054,2023-09-26,2024-06-11,259,On Hold,305165.27,253205.57917615958,Mississauga,Alice Smith
PRJ0055,2023-09-04,2023-11-19,76,Planned,542054.51,645558.5309315927,Hamilton,Alice Smith
PRJ0056,2023-05-17,2023-11-10,177,Planned,469704.45,534258.1769228776,Hamilton,Alice Smith
PRJ0057,2023-07-03,2023-10-02,91,In Progress,558005.32,486190.06744772376,Ottawa,Daniel Lee
PRJ0058,2023-12-22,2024-09-28,281,On Hold,601107.65,698392.1751505327,Ottawa,Daniel Lee
PRJ0059,2023-02-23,2023-12-09,289,Planned,351084.99,328709.1949526136,London,Cathy Zhang
PRJ0060,2023-05-04,2023-06-25,52,Completed,601491.9,571925.4416361575,London,Alice Smith
PRJ0061,2023-09-19,2024-02-20,154,Completed,500647.95,582031.5750168306,Hamilton,Bob Johnson
PRJ0062,2023-01-13,2023-07-27,195,Planned,635284.12,642936.8960927052,London,Daniel Lee
PRJ0063,2023-12-26,2024-05-31,157,Planned,479485.18,410010.2571999906,Ottawa,Alice Smith
PRJ0064,2023-03-07,2024-01-12,311,On Hold,452959.11,429234.2277901927,London,Cathy Zhang
PRJ0065,2023-05-27,2023-09-19,115,On Hold,502705.4,547365.2342260294,Hamilton,Alice Smith
PRJ0066,2023-09-21,2023-11-17,57,In Progress,510186.07,443695.394546625,Mississauga,Cathy Zhang
PRJ0067,2023-03-23,2023-07-17,116,On Hold,433721.52,449375.6048362024,Toronto,Cathy Zhang
PRJ0068,2023-05-07,2024-04-12,341,Completed,450369.53,485547.73779013386,London,Daniel Lee
PRJ0069,2023-10-15,2023-12-13,59,Completed,377312.45,353746.0540116923,Ottawa,Cathy Zhang
PRJ0070,2023-12-20,2024-11-17,333,Planned,456535.49,491940.8560883965,Mississauga,Cathy Zhang
PRJ0071,2023-03-16,2023-06-07,83,On Hold,567631.01,654866.2128673206,Ottawa,Bob Johnson
PRJ0072,2023-10-23,2024-09-17,330,In Progress,486264.58,480841.12413821777,London,Cathy Zhang
PRJ0073,2023-01-06,2023-06-01,146,Completed,600906.53,572762.3102804585,Hamilton,Bob Johnson
PRJ0074,2023-12-03,2024-05-12,161,Completed,481457.05,433534.4332002705,Toronto,Bob Johnson
PRJ0075,2023-11-20,2024-03-27,128,In Progress,356848.2,371722.4151677425,Toronto,Alice Smith
PRJ0076,2023-10-01,2024-01-07,98,In Progress,559727.49,644772.9433680279,Mississauga,Alice Smith
PRJ0077,2023-11-19,2024-02-08,81,Completed,432637.69,402294.4322669901,Toronto,Daniel Lee
PRJ0078,2023-03-22,2024-01-09,293,Completed,476663.27,456878.98432644655,Hamilton,Daniel Lee
PRJ0079,2023-09-03,2024-03-06,185,In Progress,623757.2,600459.9977102116,Ottawa,Daniel Lee
PRJ0080,2023-10-24,2024-08-13,294,Completed,383912.95,393251.6082112859,Hamilton,Cathy Zhang
PRJ0081,2023-10-19,2024-05-21,215,Planned,516474.38,460366.4547247947,Mississauga,Alice Smith
PRJ0082,2023-09-15,2024-04-01,199,Planned,495948.16,559868.1718425321,Mississauga,Cathy Zhang
PRJ0083,2023-06-28,2024-05-04,311,In Progress,570092.57,523482.3208320939,Toronto,Alice Smith
PRJ0084,2023-06-02,2023-07-15,43,On Hold,585515.34,633612.5423134742,Hamilton,Cathy Zhang
PRJ0085,2023-04-02,2023-12-07,249,In Progress,526383.9,529166.5214797254,Ottawa,Daniel Lee
PRJ0086,2023-01-19,2024-01-02,348,In Progress,463962.54,479903.848092583,Hamilton,Alice Smith
PRJ0087,2023-12-10,2024-10-02,297,On Hold,547337.25,477192.4212742817,Ottawa,Alice Smith
PRJ0088,2023-07-24,2024-04-17,268,On Hold,633565.59,693126.6344869757,Ottawa,Bob Johnson
PRJ0089,2023-08-27,2024-08-20,359,On Hold,497271.01,435335.0144044214,Hamilton,Alice Smith
PRJ0090,2023-04-14,2024-02-24,316,Planned,473274.39,400101.178651683,London,Alice Smith
PRJ0091,2023-10-01,2024-04-29,211,Completed,538817.03,548877.7137967846,Hamilton,Cathy Zhang
PRJ0092,2023-03-27,2023-06-01,66,Planned,503872.7,546056.3453923896,Ottawa,Daniel Lee
PRJ0093,2023-08-17,2024-06-09,297,Completed,366229.06,300313.07893752586,Mississauga,Bob Johnson
PRJ0094,2023-06-25,2024-04-19,299,Planned,523933.08,433689.86443774734,Mississauga,Cathy Zhang
PRJ0095,2023-04-01,2023-05-23,52,Completed,365323.76,409554.1159173512,Toronto,Alice Smith
PRJ0096,2023-01-04,2023-06-05,152,Planned,537448.06,603883.6699307115,Mississauga,Cathy Zhang
PRJ0097,2023-10-23,2024-02-28,128,On Hold,420285.73,377467.81283264776,London,Daniel Lee
PRJ0098,2023-11-12,2024-08-31,293,In Progress,503687.48,526903.0812373454,Ottawa,Bob Johnson
PRJ0099,2023-05-24,2024-03-05,286,Planned,539059.39,526807.6643870537,Hamilton,Cathy Zhang
PRJ0100,2023-08-22,2023-10-02,41,Completed,745390.33,784954.4684365832,Hamilton,Alice Smith
PRJ0101,2023-07-13,2023-10-09,88,On Hold,574275.0,657632.000350433,London,Cathy Zhang
PRJ0102,2023-12-30,2024-06-02,155,Planned,636479.88,529514.7070141374,Mississauga,Alice Smith
PRJ0103,2023-04-09,2023-06-11,63,Planned,687174.78,763584.3347088171,Ottawa,Bob Johnson
PRJ0104,2023-06-11,2024-06-03,358,On Hold,548925.59,547394.9888345533,Mississauga,Bob Johnson
PRJ0105,2023-12-09,2024-01-28,50,Planned,528568.98,542127.1853019183,Toronto,Cathy Zhang
PRJ0106,2023-10-23,2024-09-19,332,In Progress,393327.89,417546.08881614567,Mississauga,Bob Johnson
PRJ0107,2023-10-31,2024-05-02,184,Planned,488337.01,570890.0200009969,Toronto,Daniel Lee
PRJ0108,2023-11-26,2024-01-28,63,In Progress,427691.23,351856.4346800343,Hamilton,Cathy Zhang
PRJ0109,2023-09-12,2024-03-08,178,In Progress,459894.11,373337.6882905278,Ottawa,Alice Smith
PRJ0110,2023-06-30,2023-10-22,114,On Hold,687066.34,598644.1399077486,Toronto,Cathy Zhang
PRJ0111,2023-05-19,2023-10-10,144,Planned,511462.15,610981.9899264983,Mississauga,Alice Smith
PRJ0112,2023-01-24,2023-03-12,47,On Hold,412410.04,447889.9013093292,Mississauga,Bob Johnson
PRJ0113,2023-02-26,2023-07-25,149,Planned,637453.35,666684.6961556163,Hamilton,Alice Smith
PRJ0114,2023-04-10,2023-08-17,129,Planned,595527.55,487627.26089376165,London,Alice Smith
PRJ0115,2023-09-06,2023-11-11,66,Completed,600765.35,691867.864538254,London,Alice Smith
PRJ0116,2023-06-04,2023-10-29,147,Planned,299386.98,336841.1119131758,Mississauga,Alice Smith
PRJ0117,2023-07-14,2023-10-25,103,On Hold,694867.1,740672.7514247176,London,Daniel Lee
PRJ0118,2023-06-21,2023-11-27,159,In Progress,444148.53,415568.6052700928,Ottawa,Alice Smith
PRJ0119,2023-11-02,2024-03-16,135,Planned,577795.48,478531.361857976,London,Cathy Zhang
PRJ0120,2023-06-12,2023-12-23,194,Completed,752379.98,776467.7223704505,Ottawa,Daniel Lee
PRJ0121,2023-09-21,2024-03-24,185,On Hold,715533.27,778412.7800474487,Mississauga,Alice Smith
PRJ0122,2023-09-09,2024-01-02,115,Planned,402243.79,336958.0702987585,Mississauga,Alice Smith
PRJ0123,2023-08-25,2024-08-24,365,On Hold,355548.27,374572.61400932155,Mississauga,Alice Smith
PRJ0124,2023-08-15,2023-12-23,130,Completed,643034.66,588085.0508397424,Hamilton,Daniel Lee
PRJ0125,2023-08-10,2023-11-26,108,Completed,514205.58,568555.9212135926,London,Alice Smith
PRJ0126,2023-06-24,2024-05-31,342,On Hold,449911.86,457041.3164119018,Toronto,Alice Smith
PRJ0127,2023-04-15,2024-04-14,365,Planned,562121.85,478711.23915282404,Toronto,Alice Smith
PRJ0128,2023-05-23,2023-10-25,155,In Progress,483712.04,488843.15046508674,Mississauga,Bob Johnson
PRJ0129,2023-08-27,2024-02-18,175,Completed,570132.41,546354.8926548433,London,Cathy Zhang
PRJ0130,2023-03-27,2023-12-22,270,Planned,506698.18,441912.9603521803,Ottawa,Alice Smith
PRJ0131,2023-12-23,2024-10-01,283,Planned,572238.79,650410.2078813133,Toronto,Cathy Zhang
PRJ0132,2023-08-18,2024-03-09,204,In Progress,410546.73,330248.4613873175,Mississauga,Bob Johnson
PRJ0133,2023-11-10,2024-04-21,163,Completed,642446.2,594167.2101571548,Toronto,Bob Johnson
PRJ0134,2023-05-27,2024-01-06,224,Completed,569762.34,458680.3433679208,Toronto,Alice Smith
PRJ0135,2023-11-03,2024-06-13,223,Planned,564629.74,473387.1428975852,Toronto,Cathy Zhang
PRJ0136,2023-09-11,2023-12-31,111,Planned,388233.01,356723.43177167396,Mississauga,Daniel Lee
PRJ0137,2023-05-01,2023-06-27,57,In Progress,669963.24,550514.4716808421,Mississauga,Alice Smith
PRJ0138,2023-04-02,2023-09-24,175,In Progress,498628.39,517901.4807096337,Hamilton,Daniel Lee
PRJ0139,2023-06-21,2024-06-11,356,Completed,572804.89,478146.11138164223,Hamilton,Bob Johnson
PRJ0140,2023-08-02,2024-05-07,279,On Hold,467717.55,505455.5526907962,Hamilton,Bob Johnson
PRJ0141,2023-08-26,2024-02-17,175,Completed,526088.91,431948.90066084825,Toronto,Cathy Zhang
PRJ0142,2023-04-02,2023-10-02,183,Planned,529712.74,436336.8628685843,London,Daniel Lee
PRJ0143,2023-09-02,2024-02-26,177,Completed,218006.91,201030.79031648577,Mississauga,Daniel Lee
PRJ0144,2023-08-23,2024-04-15,236,On Hold,558244.81,646798.408243154,Hamilton,Alice Smith
PRJ0145,2023-11-06,2024-01-19,74,In Progress,696534.15,735928.2405260936,London,Cathy Zhang
PRJ0146,2023-07-23,2024-04-30,282,On Hold,553978.03,613836.7503776551,Hamilton,Cathy Zhang
PRJ0147,2023-02-20,2023-09-20,212,On Hold,404229.18,346271.14125648036,Hamilton,Daniel Lee
PRJ0148,2023-10-24,2023-12-23,60,On Hold,564996.16,640507.9946972121,London,Bob Johnson
PRJ0149,2023-03-05,2023-04-23,49,In Progress,605948.05,486732.9212832452,Hamilton,Cathy Zhang
PRJ0150,2023-07-02,2023-08-10,39,On Hold,551246.65,487976.1803397779,Toronto,Bob Johnson
PRJ0151,2023-07-17,2024-01-01,168,On Hold,492587.29,515461.5307460339,Toronto,Alice Smith
PRJ0152,2023-11-16,2024-07-27,254,On Hold,475785.08,452042.7210130532,Toronto,Cathy Zhang
PRJ0153,2023-02-23,2023-06-06,103,Planned,475369.02,567437.235244692,Ottawa,Cathy Zhang
PRJ0154,2023-04-20,2023-06-30,71,On Hold,569777.69,462736.8023873925,Hamilton,Alice Smith
PRJ0155,2023-01-01,2023-09-30,272,In Progress,359287.6,430943.655648927,Ottawa,Cathy Zhang
PRJ0156,2023-07-03,2024-03-08,249,On Hold,462812.68,485699.2914596551,Mississauga,Daniel Lee
PRJ0157,2023-07-15,2023-10-23,100,On Hold,659560.98,675049.3171554625,London,Daniel Lee
PRJ0158,2023-01-21,2023-09-18,240,In Progress,663419.53,546528.3106699776,Mississauga,Alice Smith
PRJ0159,2023-10-16,2024-01-10,86,On Hold,352185.29,320253.1958775804,Ottawa,Bob Johnson
PRJ0160,2023-07-29,2024-04-01,247,In Progress,386858.64,452572.41202049225,Toronto,Bob Johnson
PRJ0161,2023-08-23,2024-03-14,204,On Hold,472937.94,445364.90200062183,Hamilton,Cathy Zhang
PRJ0162,2023-06-10,2023-09-21,103,In Progress,589258.95,627361.1880685887,Hamilton,Bob Johnson
PRJ0163,2023-01-15,2023-08-19,216,On Hold,317252.56,380639.1583523986,Toronto,Bob Johnson
PRJ0164,2023-11-15,2024-08-27,286,On Hold,494519.14,447652.51545800356,Hamilton,Alice Smith
PRJ0165,2023-02-14,2023-04-15,60,Planned,452582.08,466355.2169890432,London,Bob Johnson
PRJ0166,2023-10-21,2024-01-05,76,Planned,632596.47,682302.8116952047,London,Bob Johnson
PRJ0167,2023-03-12,2023-11-23,256,On Hold,332309.15,287730.17614919745,London,Bob Johnson
PRJ0168,2023-02-08,2023-05-04,85,On Hold,509254.06,437688.09066915576,Mississauga,Daniel Lee
PRJ0169,2023-04-28,2023-06-11,44,Completed,460639.06,452588.5469987136,Toronto,Daniel Lee
PRJ0170,2023-06-16,2024-03-10,268,In Progress,646979.89,617429.0891553791,London,Alice Smith
PRJ0171,2023-03-19,2024-01-06,293,Completed,559765.26,607729.4038833791,Ottawa,Cathy Zhang
PRJ0172,2023-07-17,2024-07-06,355,Planned,441418.43,365407.7251056255,London,Alice Smith
PRJ0173,2023-10-22,2024-08-01,284,Planned,585338.64,695889.587757507,Mississauga,Cathy Zhang
PRJ0174,2023-08-10,2024-03-13,216,Planned,461117.11,371527.03221379756,Ottawa,Cathy Zhang
PRJ0175,2023-01-24,2023-05-17,113,Planned,599932.97,624246.2913339821,Toronto,Bob Johnson
PRJ0176,2023-06-08,2023-08-30,83,On Hold,476292.3,488224.8692562596,Toronto,Bob Johnson
PRJ0177,2023-04-10,2023-10-28,201,Planned,605466.66,516999.6814476608,London,Alice Smith
PRJ0178,2023-05-07,2023-07-19,73,On Hold,543608.2,467702.2262856532,Ottawa,Alice Smith
PRJ0179,2023-03-21,2023-05-22,62,On Hold,826049.11,922755.501323915,Ottawa,Alice Smith
PRJ0180,2023-01-13,2023-09-17,247,Planned,494710.4,571402.8715305288,London,Daniel Lee
PRJ0181,2023-05-23,2024-01-30,252,Planned,538286.23,491566.63823664514,London,Daniel Lee
PRJ0182,2023-09-24,2024-08-15,326,In Progress,452057.53,440839.98711117107,Hamilton,Daniel Lee
PRJ0183,2023-05-13,2024-02-28,291,Completed,500268.53,471251.96293501876,Hamilton,Daniel Lee
PRJ0184,2023-02-26,2023-04-08,41,Planned,229816.49,190522.19195383068,London,Daniel Lee
PRJ0185,2023-08-13,2024-08-10,363,In Progress,546558.4,584424.8942302429,Mississauga,Bob Johnson
PRJ0186,2023-04-08,2024-03-09,336,In Progress,634287.42,716793.7350480518,Hamilton,Cathy Zhang
PRJ0187,2023-12-17,2024-04-07,112,Completed,539663.0,497543.2434591244,London,Daniel Lee
PRJ0188,2023-12-07,2024-09-09,277,On Hold,368613.85,440888.0845868098,Ottawa,Alice Smith
PRJ0189,2023-09-20,2024-04-29,222,Planned,419821.28,348594.66314730863,Hamilton,Cathy Zhang
PRJ0190,2023-07-30,2024-01-18,172,Completed,256980.79,273611.6321802878,Mississauga,Daniel Lee
PRJ0191,2023-09-04,2024-06-24,294,Planned,597892.4,585510.7693408953,Toronto,Daniel Lee
PRJ0192,2023-08-18,2024-01-18,153,In Progress,399348.67,390818.8860905658,Ottawa,Bob Johnson
PRJ0193,2023-09-04,2024-02-27,176,In Progress,497129.14,488706.90060940967,Mississauga,Bob Johnson
PRJ0194,2023-04-05,2023-10-05,183,On Hold,484626.24,437846.5821575667,Mississauga,Bob Johnson
PRJ0195,2023-03-18,2023-06-21,95,In Progress,648772.7,704713.2110031864,Mississauga,Daniel Lee
PRJ0196,2023-04-20,2023-09-22,155,In Progress,508528.13,553599.288584766,Ottawa,Bob Johnson
PRJ0197,2023-04-14,2023-07-18,95,Completed,580889.29,530328.0147149704,Mississauga,Daniel Lee
PRJ0198,2023-09-09,2024-05-23,257,Planned,554646.38,629036.9858823004,Toronto,Cathy Zhang
PRJ0199,2023-05-05,2024-02-13,284,Planned,635941.14,589350.8058672906,Hamilton,Cathy Zhang
PRJ0200,2023-03-17,2023-10-23,220,Completed,476087.63,518953.2507712196,Ottawa,Daniel Lee
PRJ0201,2023-12-18,2024-10-25,312,On Hold,686961.53,582818.0981678934,Mississauga,Alice Smith
PRJ0202,2023-07-28,2024-02-16,203,Planned,301433.78,261487.9735530172,London,Daniel Lee
PRJ0203,2023-10-20,2024-04-19,182,In Progress,585747.35,542588.4647649,Hamilton,Cathy Zhang
PRJ0204,2023-12-13,2024-01-12,30,Planned,413338.04,428858.67965409963,Ottawa,Cathy Zhang
PRJ0205,2023-08-03,2023-11-13,102,In Progress,450725.04,476959.30804513843,London,Daniel Lee
PRJ0206,2023-11-17,2024-07-18,244,On Hold,556941.43,533852.0132819565,London,Daniel Lee
PRJ0207,2023-04-05,2023-06-27,83,Completed,556140.2,462227.95287148474,Mississauga,Daniel Lee
PRJ0208,2023-12-09,2024-09-13,279,Planned,560642.8,532304.4710105164,Ottawa,Cathy Zhang
PRJ0209,2023-04-13,2024-01-04,266,Completed,361384.21,388671.2498514242,Mississauga,Alice Smith
PRJ0210,2023-06-03,2024-05-12,344,Planned,644903.02,689013.2157156934,Toronto,Daniel Lee
PRJ0211,2023-07-24,2023-12-10,139,In Progress,409935.29,354216.29724173323,London,Cathy Zhang
PRJ0212,2023-03-26,2023-06-13,79,Completed,423271.29,339934.924454827,Toronto,Daniel Lee
PRJ0213,2023-03-12,2023-08-09,150,Planned,563789.67,620841.0390125776,Mississauga,Cathy Zhang
PRJ0214,2023-03-10,2023-06-24,106,In Progress,471327.88,397116.0169447377,Hamilton,Daniel Lee
PRJ0215,2023-05-26,2023-07-03,38,Completed,530826.08,442146.09331276687,London,Cathy Zhang
PRJ0216,2023-10-11,2024-02-08,120,Completed,284339.93,227779.16952221634,Hamilton,Daniel Lee
PRJ0217,2023-11-03,2024-10-05,337,Planned,528432.44,514186.18168906175,Ottawa,Bob Johnson
PRJ0218,2023-01-23,2023-08-28,217,Planned,521783.19,522464.40944954834,London,Daniel Lee
PRJ0219,2023-11-22,2024-03-29,128,Planned,449014.15,473739.3918667881,Toronto,Cathy Zhang
PRJ0220,2023-08-09,2024-03-11,215,In Progress,292592.4,268724.3318829253,Hamilton,Daniel Lee
PRJ0221,2023-11-23,2024-10-08,320,Planned,478719.17,519012.9082304659,Ottawa,Alice Smith
PRJ0222,2023-10-02,2024-05-29,240,Completed,496262.61,430623.31580516667,London,Daniel Lee
PRJ0223,2023-07-26,2024-03-10,228,Completed,463277.1,524798.455613523,Ottawa,Daniel Lee
PRJ0224,2023-01-10,2023-04-19,99,Planned,316382.55,325475.1730030391,Toronto,Daniel Lee
PRJ0225,2023-10-23,2024-02-08,108,Planned,659473.4,681602.6428178258,London,Alice Smith
PRJ0226,2023-07-06,2023-11-24,141,On Hold,436113.85,385485.4653354199,Ottawa,Alice Smith
PRJ0227,2023-12-05,2024-04-27,144,Completed,477779.53,396386.681363851,Mississauga,Alice Smith
PRJ0228,2023-04-25,2023-11-07,196,In Progress,259052.57,255397.31783231677,London,Bob Johnson
PRJ0229,2023-09-30,2024-06-19,263,On Hold,659485.53,689983.2937551405,London,Alice Smith
PRJ0230,2023-09-15,2024-05-13,241,Planned,453345.01,379911.5431009786,London,Bob Johnson
PRJ0231,2023-02-27,2023-10-11,226,Planned,509846.28,601727.6103399761,London,Daniel Lee
PRJ0232,2023-07-28,2023-09-14,48,Completed,612073.74,729693.3456869606,Mississauga,Bob Johnson
PRJ0233,2023-06-13,2024-01-01,202,Planned,432369.58,440231.21691801585,Toronto,Daniel Lee
PRJ0234,2023-08-20,2024-05-22,276,In Progress,596324.5,703679.4055935345,Mississauga,Bob Johnson
PRJ0235,2023-07-02,2023-09-11,71,Completed,293867.45,256187.2057530118,Mississauga,Alice Smith
PRJ0236,2023-11-13,2024-01-25,73,Planned,555098.67,449723.3314134573,Ottawa,Alice Smith
PRJ0237,2023-12-29,2024-06-25,179,Completed,657224.22,536139.7364367156,Hamilton,Bob Johnson
PRJ0238,2023-11-03,2024-06-14,224,Planned,441958.32,457429.0673545975,Hamilton,Bob Johnson
PRJ0239,2023-11-25,2024-02-20,87,Planned,611888.16,504597.703454037,Ottawa,Alice Smith
PRJ0240,2023-08-26,2023-12-15,111,Planned,683392.27,808738.8792584161,Mississauga,Daniel Lee
PRJ0241,2023-08-20,2024-01-05,138,In Progress,474515.82,406552.47755549155,Ottawa,Daniel Lee
PRJ0242,2023-08-15,2024-07-13,333,In Progress,466247.17,429828.19438266405,London,Daniel Lee
PRJ0243,2023-07-10,2023-10-01,83,Completed,410170.63,463085.5620127511,Ottawa,Daniel Lee
PRJ0244,2023-05-17,2023-09-10,116,Planned,449026.98,398509.706675062,Ottawa,Cathy Zhang
PRJ0245,2023-03-19,2024-02-12,330,Planned,418464.01,375440.6301713672,London,Daniel Lee
PRJ0246,2023-06-22,2024-04-28,311,In Progress,410088.89,433432.61868695915,Hamilton,Cathy Zhang
PRJ0247,2023-08-26,2023-10-06,41,Planned,619883.53,564363.3116466465,London,Cathy Zhang
PRJ0248,2023-05-12,2023-11-06,178,In Progress,421007.4,373424.7452118934,Toronto,Alice Smith
PRJ0249,2023-01-08,2023-12-24,350,Planned,525852.19,474145.71508672973,Ottawa,Alice Smith
PRJ0250,2023-11-03,2024-09-28,330,Completed,503823.34,501938.53675219713,Ottawa,Bob Johnson
PRJ0251,2023-08-24,2023-12-05,103,Planned,649809.46,770959.9026422851,Hamilton,Daniel Lee
PRJ0252,2023-01-28,2023-04-22,84,Planned,449684.38,509445.26510537486,Mississauga,Daniel Lee
PRJ0253,2023-06-22,2023-11-07,138,On Hold,538114.8,491753.0382366988,London,Alice Smith
PRJ0254,2023-02-20,2023-12-30,313,In Progress,579106.97,547458.3591010047,Mississauga,Alice Smith
PRJ0255,2024-01-01,2024-02-19,49,Planned,648974.96,639762.6956761574,Toronto,Alice Smith
PRJ0256,2023-06-03,2024-04-01,303,Planned,448224.67,534091.9031949628,London,Bob Johnson
PRJ0257,2023-11-10,2024-07-21,254,On Hold,438210.75,380785.94256889814,Toronto,Daniel Lee
PRJ0258,2023-12-21,2024-02-18,59,On Hold,393821.89,371371.38058409555,Toronto,Bob Johnson
PRJ0259,2023-12-03,2024-09-10,282,In Progress,723629.96,790037.7980846672,Toronto,Cathy Zhang
PRJ0260,2023-05-14,2024-03-24,315,On Hold,638447.24,756928.6786637201,London,Cathy Zhang
PRJ0261,2023-02-15,2023-03-29,42,Completed,495779.86,427496.1420758896,London,Daniel Lee
